"id","name","unit_price","stock","brand_name"
1,Running Shoes Model 924,292.89,85,GreenLeaf
2,Water Bottle,363.47,237,ElectroVision
3,Coffee Beans 1kg Model 317,652.53,40,HomeEase
4,Desk Chair,941.48,463,FreshFarms
5,Bluetooth Headphones Model 687,267.17,102,TechNova
6,Desk Chair,34.21,46,SprintPro
7,Smartphone,699.38,462,SoundMax
8,Running Shoes,752.89,27,ElectroVision
9,Organic Apple,47.04,191,SoundMax
10,LED TV 42 inch Model 437,159.02,226,BeanBrew
11,Desk Chair Model 162,853.44,274,ComfortSit
12,Smartphone,568.46,178,HomeEase
13,Notebook Model 886,561.94,271,SoundMax
14,Bluetooth Headphones,500.53,276,ComfortSit
15,Desk Chair,493.44,156,BeanBrew
16,Notebook,511.07,165,TechNova
17,Backpack,311.13,335,HomeEase
18,Bluetooth Headphones,614.22,395,SprintPro
19,Organic Apple Model 459,151.22,258,FreshFarms
20,Organic Apple Model 910,684.00,75,BeanBrew
21,Bluetooth Headphones Model 250,678.29,316,TechNova
22,Backpack,583.09,312,HomeEase
23,Running Shoes,634.95,285,ElectroVision
24,Backpack,520.67,216,TechNova
25,Running Shoes Model 557,73.58,484,ComfortSit
26,Notebook,193.74,147,HealthPlus
27,Notebook Model 654,476.86,356,FreshFarms
28,Bluetooth Headphones,643.06,259,ElectroVision
29,Smartphone Model 964,540.90,423,HomeEase
30,Coffee Beans 1kg,675.04,90,SprintPro
31,Smartphone,225.43,253,ComfortSit
32,Desk Chair Model 509,610.03,99,SoundMax
33,Coffee Beans 1kg,936.88,313,SoundMax
34,Bluetooth Headphones,332.76,126,BeanBrew
35,Backpack Model 531,687.12,347,FreshFarms
36,Running Shoes,112.62,498,GreenLeaf
37,Bluetooth Headphones,179.22,205,HomeEase
38,Notebook Model 605,782.16,155,TechNova
39,Organic Apple,717.36,159,HealthPlus
40,Notebook,775.59,306,SoundMax
41,Water Bottle,760.25,400,HealthPlus
42,Smartphone Model 322,278.65,322,TechNova
43,Bluetooth Headphones,823.82,161,ComfortSit
44,Smartphone,973.96,311,ComfortSit
45,Smartphone Model 157,618.47,417,SprintPro
46,Backpack,174.88,474,HomeEase
47,Bluetooth Headphones Model 155,982.16,232,BeanBrew
48,Backpack,945.57,224,FreshFarms
49,Desk Chair,617.63,488,FreshFarms
50,Notebook,554.12,460,BeanBrew
51,Notebook,60.79,22,ElectroVision
52,Bluetooth Headphones,334.36,238,TechNova
53,Organic Apple,713.54,441,HealthPlus
54,Water Bottle Model 630,415.55,29,ComfortSit
55,Smartphone,537.38,267,GreenLeaf
56,Bluetooth Headphones,685.73,297,ComfortSit
57,Smartphone,750.03,113,ElectroVision
58,Notebook,560.16,221,SprintPro
59,Bluetooth Headphones Model 889,105.11,354,SoundMax
60,Running Shoes,836.76,29,HealthPlus
61,Coffee Beans 1kg,816.59,115,SoundMax
62,Coffee Beans 1kg Model 146,34.06,185,FreshFarms
63,Coffee Beans 1kg Model 860,310.63,161,GreenLeaf
64,Running Shoes,813.35,195,BeanBrew
65,Water Bottle,307.71,454,FreshFarms
66,Organic Apple,698.72,275,SprintPro
67,Organic Apple,308.94,246,ComfortSit
68,LED TV 42 inch,575.65,181,HomeEase
69,LED TV 42 inch,488.00,192,ComfortSit
70,Coffee Beans 1kg,127.76,340,SoundMax
71,Running Shoes,89.60,110,TechNova
72,Coffee Beans 1kg,487.50,67,TechNova
73,Running Shoes Model 421,937.38,345,HealthPlus
74,Running Shoes Model 960,965.30,367,HealthPlus
75,Organic Apple Model 955,640.80,36,SoundMax
76,Organic Apple,1.26,254,GreenLeaf
77,Coffee Beans 1kg,349.46,452,TechNova
78,Desk Chair Model 603,957.02,352,GreenLeaf
79,Water Bottle Model 406,7.77,304,BeanBrew
80,LED TV 42 inch,81.02,311,SoundMax
81,LED TV 42 inch Model 319,278.77,46,TechNova
82,Organic Apple Model 181,349.91,104,HealthPlus
83,Bluetooth Headphones Model 371,178.10,277,BeanBrew
84,Bluetooth Headphones,225.08,195,SprintPro
85,Water Bottle,68.25,379,SoundMax
86,Bluetooth Headphones,859.88,115,HomeEase
87,Running Shoes,158.81,259,FreshFarms
88,Organic Apple,406.69,29,ComfortSit
89,Backpack Model 657,599.10,78,SprintPro
90,Bluetooth Headphones,559.59,483,SoundMax
91,Desk Chair,163.35,354,TechNova
92,Smartphone,691.71,118,SoundMax
93,Bluetooth Headphones Model 838,964.49,35,FreshFarms
94,Water Bottle Model 514,774.14,285,TechNova
95,Backpack,83.82,115,GreenLeaf
96,Backpack,279.19,89,BeanBrew
97,Water Bottle Model 682,233.12,126,SoundMax
98,Bluetooth Headphones,670.50,191,ComfortSit
99,Smartphone,728.51,370,SprintPro
100,Smartphone,301.71,449,GreenLeaf
101,Water Bottle Model 498,252.21,493,SoundMax
102,Water Bottle,674.69,240,ElectroVision
103,Coffee Beans 1kg,319.57,370,FreshFarms
104,Notebook,453.26,298,GreenLeaf
105,Notebook,512.79,321,SoundMax
106,Bluetooth Headphones Model 605,952.07,417,ComfortSit
107,Desk Chair,761.87,335,BeanBrew
108,Organic Apple Model 365,417.31,56,ElectroVision
109,LED TV 42 inch Model 587,24.75,87,BeanBrew
110,Desk Chair Model 799,679.32,200,FreshFarms
111,Organic Apple Model 668,803.90,248,FreshFarms
112,Running Shoes,428.21,32,SprintPro
113,Desk Chair,290.81,374,ElectroVision
114,LED TV 42 inch,942.34,94,GreenLeaf
115,Backpack Model 333,74.47,308,ElectroVision
116,Organic Apple Model 569,747.61,331,HealthPlus
117,LED TV 42 inch,120.71,324,GreenLeaf
118,Smartphone Model 907,154.88,84,ElectroVision
119,Bluetooth Headphones,467.96,452,ElectroVision
120,Organic Apple,320.09,147,GreenLeaf
121,Smartphone,862.95,476,BeanBrew
122,Desk Chair,710.56,387,SoundMax
123,Backpack,731.83,79,SoundMax
124,Water Bottle Model 551,47.68,81,ElectroVision
125,Notebook,387.26,374,TechNova
126,LED TV 42 inch,547.37,20,ElectroVision
127,Desk Chair,874.95,328,ComfortSit
128,Notebook,701.45,142,HealthPlus
129,Water Bottle,419.16,235,SprintPro
130,Smartphone,96.68,496,ComfortSit
131,Organic Apple,365.16,69,HealthPlus
132,Notebook,746.13,181,GreenLeaf
133,Smartphone Model 971,695.86,137,FreshFarms
134,Smartphone,497.26,215,ComfortSit
135,LED TV 42 inch Model 941,204.08,220,HealthPlus
136,LED TV 42 inch Model 759,932.17,225,SoundMax
137,LED TV 42 inch Model 292,541.24,101,GreenLeaf
138,Desk Chair,462.46,459,GreenLeaf
139,Backpack Model 107,616.99,335,FreshFarms
140,Desk Chair,545.02,215,SoundMax
141,Coffee Beans 1kg Model 423,204.96,236,TechNova
142,Smartphone,537.71,433,BeanBrew
143,Water Bottle Model 779,849.89,62,TechNova
144,Notebook Model 394,5.75,142,TechNova
145,Water Bottle,540.80,410,SoundMax
146,Bluetooth Headphones,317.73,457,HomeEase
147,Organic Apple,195.70,349,TechNova
148,Coffee Beans 1kg,641.26,435,SprintPro
149,Bluetooth Headphones,732.13,58,HomeEase
150,Desk Chair,171.69,41,HealthPlus
151,Water Bottle Model 996,307.32,414,GreenLeaf
152,Smartphone Model 877,822.01,362,SoundMax
153,LED TV 42 inch Model 848,486.53,462,FreshFarms
154,Running Shoes,74.95,466,TechNova
155,LED TV 42 inch,928.36,388,ComfortSit
156,Desk Chair Model 888,885.20,246,FreshFarms
157,Desk Chair,998.08,103,HealthPlus
158,Desk Chair Model 494,682.97,498,ComfortSit
159,Notebook,55.10,67,SprintPro
160,LED TV 42 inch,455.34,399,SoundMax
161,Desk Chair Model 287,481.85,319,HealthPlus
162,LED TV 42 inch Model 673,311.73,15,SprintPro
163,Bluetooth Headphones,156.70,299,TechNova
164,Smartphone,296.72,442,HealthPlus
165,Coffee Beans 1kg Model 291,851.61,145,TechNova
166,Backpack,762.34,340,BeanBrew
167,Smartphone,418.32,64,FreshFarms
168,Notebook Model 202,797.80,313,HealthPlus
169,Backpack Model 668,795.02,82,BeanBrew
170,Notebook,198.74,92,ElectroVision
171,Desk Chair,3.48,86,BeanBrew
172,Smartphone,584.65,108,TechNova
173,Running Shoes,14.40,95,BeanBrew
174,Organic Apple Model 284,976.28,405,HealthPlus
175,LED TV 42 inch Model 253,884.87,257,HomeEase
176,Water Bottle Model 194,511.92,400,FreshFarms
177,Coffee Beans 1kg,428.62,82,ElectroVision
178,Smartphone,867.80,46,HealthPlus
179,Running Shoes,819.16,12,HomeEase
180,Running Shoes,470.51,407,FreshFarms
181,Smartphone,478.34,194,HealthPlus
182,Smartphone,788.28,28,SprintPro
183,Smartphone,609.28,92,GreenLeaf
184,Coffee Beans 1kg,896.44,28,SoundMax
185,LED TV 42 inch,36.62,371,SoundMax
186,Backpack Model 122,721.37,30,SoundMax
187,Coffee Beans 1kg Model 452,730.56,372,ElectroVision
188,Desk Chair,853.86,0,FreshFarms
189,Organic Apple,417.39,182,ElectroVision
190,Desk Chair,531.74,353,HealthPlus
191,Smartphone,673.76,315,SoundMax
192,Notebook,601.54,461,ComfortSit
193,Running Shoes Model 989,630.68,180,HealthPlus
194,Coffee Beans 1kg,347.58,402,FreshFarms
195,Backpack,746.89,383,SprintPro
196,Coffee Beans 1kg,482.07,410,ComfortSit
197,Notebook,724.14,279,TechNova
198,Smartphone,97.84,76,ComfortSit
199,Bluetooth Headphones Model 716,517.42,169,GreenLeaf
200,Running Shoes,865.32,391,FreshFarms
201,Coffee Beans 1kg,784.96,7,SprintPro
202,Water Bottle,904.92,255,GreenLeaf
203,LED TV 42 inch,287.58,464,ComfortSit
204,Water Bottle,853.13,324,HealthPlus
205,Coffee Beans 1kg Model 684,397.87,456,GreenLeaf
206,Running Shoes,684.50,40,BeanBrew
207,Running Shoes Model 485,627.07,140,HealthPlus
208,Water Bottle,388.11,371,GreenLeaf
209,LED TV 42 inch,978.75,29,BeanBrew
210,LED TV 42 inch,929.40,457,GreenLeaf
211,LED TV 42 inch,828.64,286,TechNova
212,Backpack,683.61,434,BeanBrew
213,Running Shoes,860.77,227,ElectroVision
214,Coffee Beans 1kg Model 893,420.07,151,SprintPro
215,Organic Apple,901.00,323,HealthPlus
216,LED TV 42 inch Model 865,45.96,384,ElectroVision
217,Organic Apple,191.97,232,SoundMax
218,Organic Apple,801.50,381,BeanBrew
219,Running Shoes,65.03,353,HealthPlus
220,Water Bottle,596.15,483,SprintPro
221,Bluetooth Headphones,284.65,93,ComfortSit
222,Notebook,684.59,59,HealthPlus
223,Water Bottle,902.85,163,HealthPlus
224,Notebook,948.11,413,FreshFarms
225,Smartphone Model 433,418.49,143,ComfortSit
226,Desk Chair Model 431,271.43,203,BeanBrew
227,Coffee Beans 1kg,680.69,174,SoundMax
228,Smartphone,613.06,224,HealthPlus
229,LED TV 42 inch,3.45,285,GreenLeaf
230,Smartphone Model 301,133.27,11,HealthPlus
231,Coffee Beans 1kg,337.53,249,GreenLeaf
232,Coffee Beans 1kg,268.67,378,SprintPro
233,Coffee Beans 1kg,726.14,500,ElectroVision
234,Smartphone,855.10,326,SoundMax
235,Bluetooth Headphones,863.86,302,ElectroVision
236,Smartphone,124.89,282,HealthPlus
237,Bluetooth Headphones Model 615,126.00,11,HomeEase
238,Water Bottle,506.41,113,ComfortSit
239,Coffee Beans 1kg Model 712,40.75,226,TechNova
240,Backpack,915.69,466,ElectroVision
241,LED TV 42 inch,275.90,404,HomeEase
242,Smartphone,353.77,199,ElectroVision
243,Smartphone,641.34,184,FreshFarms
244,Coffee Beans 1kg,508.01,312,SoundMax
245,Smartphone,284.40,75,ComfortSit
246,Coffee Beans 1kg Model 576,42.79,372,SprintPro
247,Notebook,370.69,416,FreshFarms
248,Water Bottle Model 340,220.40,297,HomeEase
249,Desk Chair Model 178,568.70,107,FreshFarms
250,Notebook,797.77,359,TechNova
251,Water Bottle,702.61,498,SprintPro
252,Bluetooth Headphones,118.81,14,GreenLeaf
253,Running Shoes Model 586,960.93,447,ComfortSit
254,Coffee Beans 1kg,686.10,145,SprintPro
255,Coffee Beans 1kg Model 589,901.73,376,HomeEase
256,Notebook,600.70,398,SprintPro
257,Desk Chair,946.38,322,ComfortSit
258,Water Bottle,324.39,362,SprintPro
259,Notebook,327.92,250,ElectroVision
260,Notebook Model 140,963.79,354,TechNova
261,LED TV 42 inch,836.54,269,HealthPlus
262,Organic Apple,19.07,496,ElectroVision
263,Organic Apple,358.90,31,HealthPlus
264,Notebook Model 898,690.26,349,SprintPro
265,Backpack Model 828,385.13,183,TechNova
266,Bluetooth Headphones Model 488,120.04,333,HomeEase
267,Bluetooth Headphones,173.22,134,HealthPlus
268,Smartphone,869.76,114,SprintPro
269,Water Bottle,338.68,112,HomeEase
270,Bluetooth Headphones Model 400,790.98,433,FreshFarms
271,Running Shoes,594.81,338,FreshFarms
272,Water Bottle,202.82,130,GreenLeaf
273,Bluetooth Headphones Model 961,584.63,344,ElectroVision
274,Running Shoes Model 393,423.07,330,SoundMax
275,Organic Apple,439.11,351,TechNova
276,Backpack Model 632,361.80,127,GreenLeaf
